Type,Local Number,Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 7,Value 7,Field 8,Value 8,Field 9,Value 9,Field 10,Value 10
Definition,0,file_id,,,,,,,,,,,,,,,,,,,,
Data,0,file_id,type,workout,manufacturer,developer,product,1,time_created,1762788902,serial_number,1762788902,,,,,,,,,,
Definition,1,workout,,,,,,,,,,,,,,,,,,,,
Data,1,workout,sport,cycling,capabilities,0,num_valid_steps,14,wkt_name,Workout,,,,,,,,,,,,
Definition,2,workout_step,,,,,,,,,,,,,,,,,,,,
Data,2,workout_step,message_index,0,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,1,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,2,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,3,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,4,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,5,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,6,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,7,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,8,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,9,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,10,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,11,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,12,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
Data,2,workout_step,message_index,13,wkt_step_name,step,duration_type,time,target_type,open,intensity,active,,,,,,,,,,
