Type,Local Number,Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 7,Value 7,Field 8,Value 8,Field 9,Value 9,Field 10,Value 10
Definition,0,file_id,,,,,,,,,,,,,,,,,,,,
Data,0,file_id,type,workout,manufacturer,developer,product,1,time_created,1762788836,serial_number,1762788836,,,,,,,,,,
Definition,1,workout,,,,,,,,,,,,,,,,,,,,
Data,1,workout,sport,cycling,capabilities,0,num_valid_steps,9,wkt_name,FTP 4x8,,,,,,,,,,,,
Definition,2,workout_step,,,,,,,,,,,,,,,,,,,,
Data,2,workout_step,message_index,0,wkt_step_name,warmup,duration_type,time,duration_value,600,target_type,heart_rate,intensity,active,custom_target_value_low,120,custom_target_value_high,140,notes,Aquecer Z2,,
Data,2,workout_step,message_index,1,wkt_step_name,interval,duration_type,time,duration_value,480,target_type,power,intensity,active,custom_target_value_low,95,custom_target_value_high,105,notes,Bloco 1,,
Data,2,workout_step,message_index,2,wkt_step_name,recovery,duration_type,time,duration_value,180,target_type,heart_rate,intensity,rest,custom_target_value_low,90,custom_target_value_high,140,notes,Recup leve,,
Data,2,workout_step,message_index,3,wkt_step_name,interval,duration_type,time,duration_value,480,target_type,power,intensity,active,custom_target_value_low,95,custom_target_value_high,105,notes,Bloco 2,,
Data,2,workout_step,message_index,4,wkt_step_name,recovery,duration_type,time,duration_value,180,target_type,heart_rate,intensity,rest,custom_target_value_low,90,custom_target_value_high,140,notes,Recup leve,,
Data,2,workout_step,message_index,5,wkt_step_name,interval,duration_type,time,duration_value,480,target_type,power,intensity,active,custom_target_value_low,95,custom_target_value_high,105,notes,Bloco 3,,
Data,2,workout_step,message_index,6,wkt_step_name,recovery,duration_type,time,duration_value,180,target_type,heart_rate,intensity,rest,custom_target_value_low,90,custom_target_value_high,140,notes,Recup leve,,
Data,2,workout_step,message_index,7,wkt_step_name,interval,duration_type,time,duration_value,480,target_type,power,intensity,active,custom_target_value_low,95,custom_target_value_high,105,notes,Bloco 4,,
Data,2,workout_step,message_index,8,wkt_step_name,cooldown,duration_type,time,duration_value,600,target_type,heart_rate,intensity,active,custom_target_value_low,100,custom_target_value_high,120,notes,Volta à calma,,
